experiment_id,dataset,input_clip_id,raag_name,input_tempo_bpm,input_tempo_category,input_quality_tier,input_spectral_centroid,input_dynamic_range,input_duration_sec,input_chroma_sparsity,input_chroma_entropy,input_pitch_confidence,input_num_active_pitches,model_name,model_architecture,conditioning_level,conditioning_type,input_required,target_genre,target_bpm,tempo_condition,hcm_tempo_name,time_signature,rhythm_signature,random_seed,cfg_scale,generation_duration,text_prompt,tempo_mismatch_ratio,output_filename,output_spectral_centroid,output_dynamic_range,output_tempo_bpm,output_rms_energy,pitch_contour_correlation,melodic_interval_correlation,pitch_range_overlap,chroma_cosine_similarity,chroma_euclidean_distance,chroma_kl_divergence,chroma_emd,chroma_pearson_correlation,chroma_spearman_correlation,frame-by-frame_chroma_similarity,spectral_centroid_shift,dynamic_range_preservation,spectral_similarity,tempo_error_percent,tempo_achievement_score,tempo_adaptation_quality,overall_quality,melody_preservation,genre_coherence,fusion_naturalness,rhythmic_coherence,artifacts_present,generation_status,generation_date,generation_time_sec,evaluator_notes,experiment_batch
11,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Blues,120,Madhya,Madhya,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",53,3.0,30,"miya malhar Madhya Blues music, 120 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.183,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Blues_Madhya_53.wav,1336.57,63.471,117.454,0.145,-0.04,0.006,1.0,0.954,22.022,0.044,0.575,0.069,0.105,0.572,0.752,1.922,0.994,2.086,1.0,1.0,,,,,,,completed,1761179909.052189,32.77381706237793,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
12,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,Stable-Audio-Open,Diffusion-DiT,0,text-only,none,Blues,180,Drut,Drut,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",54,3.0,30,"miya malhar Madhya Blues music, 180 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.775,DS1_Saraga_miya malhar_103_Stable-Audio-Open_Blues_Drut_54.wav,1434.515,80.0,117.454,0.138,0.203,-0.004,1.0,0.831,7.102,0.162,0.443,-0.099,0.07,0.443,0.807,2.423,0.994,34.742,0.4,0.34,,,,,,,completed,1761179954.216592,32.28307223320007,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
13,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Rock,70,Vilambit,Vilambit,4/4,"driving backbeat, emphasis on beats 2 and 4",55,3.0,30,"Rock music, 70 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",0.69,DS1_Saraga_miya malhar_103_MusicGen-Melody_Rock_Vilambit_55.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
14,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Rock,120,Madhya,Madhya,4/4,"driving backbeat, emphasis on beats 2 and 4",56,3.0,30,"Rock music, 120 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.183,DS1_Saraga_miya malhar_103_MusicGen-Melody_Rock_Madhya_56.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
15,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Rock,180,Drut,Drut,4/4,"driving backbeat, emphasis on beats 2 and 4",57,3.0,30,"Rock music, 180 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.775,DS1_Saraga_miya malhar_103_MusicGen-Melody_Rock_Drut_57.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
16,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Jazz,70,Vilambit,Vilambit,4/4,"swing rhythm, syncopation, walking bass",58,3.0,30,"Jazz music, 70 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",0.69,DS1_Saraga_miya malhar_103_MusicGen-Melody_Jazz_Vilambit_58.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
17,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Jazz,120,Madhya,Madhya,4/4,"swing rhythm, syncopation, walking bass",59,3.0,30,"Jazz music, 120 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.183,DS1_Saraga_miya malhar_103_MusicGen-Melody_Jazz_Madhya_59.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
18,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Jazz,180,Drut,Drut,4/4,"swing rhythm, syncopation, walking bass",60,3.0,30,"Jazz music, 180 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.775,DS1_Saraga_miya malhar_103_MusicGen-Melody_Jazz_Drut_60.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
19,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Funk,70,Vilambit,Vilambit,4/4,"syncopated groove, emphasis on the one, tight rhythm section",61,3.0,30,"Funk music, 70 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",0.69,DS1_Saraga_miya malhar_103_MusicGen-Melody_Funk_Vilambit_61.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
20,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Funk,120,Madhya,Madhya,4/4,"syncopated groove, emphasis on the one, tight rhythm section",62,3.0,30,"Funk music, 120 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.183,DS1_Saraga_miya malhar_103_MusicGen-Melody_Funk_Madhya_62.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
21,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Funk,180,Drut,Drut,4/4,"syncopated groove, emphasis on the one, tight rhythm section",63,3.0,30,"Funk music, 180 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.775,DS1_Saraga_miya malhar_103_MusicGen-Melody_Funk_Drut_63.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
22,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Blues,70,Vilambit,Vilambit,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",64,3.0,30,"Blues music, 70 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",0.69,DS1_Saraga_miya malhar_103_MusicGen-Melody_Blues_Vilambit_64.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
23,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Blues,120,Madhya,Madhya,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",65,3.0,30,"Blues music, 120 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.183,DS1_Saraga_miya malhar_103_MusicGen-Melody_Blues_Madhya_65.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
24,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Melody,Autoregressive-Transformer,1,text+chromagram,chromagram,Blues,180,Drut,Drut,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",66,3.0,30,"Blues music, 180 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",1.775,DS1_Saraga_miya malhar_103_MusicGen-Melody_Blues_Drut_66.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
25,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Rock,70,Vilambit,Vilambit,4/4,"driving backbeat, emphasis on beats 2 and 4",67,3.0,30,"Rock music, 70 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",0.69,DS1_Saraga_miya malhar_103_MusicGen-Style_Rock_Vilambit_67.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
26,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Rock,120,Madhya,Madhya,4/4,"driving backbeat, emphasis on beats 2 and 4",68,3.0,30,"Rock music, 120 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.183,DS1_Saraga_miya malhar_103_MusicGen-Style_Rock_Madhya_68.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
27,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Rock,180,Drut,Drut,4/4,"driving backbeat, emphasis on beats 2 and 4",69,3.0,30,"Rock music, 180 BPM, 4/4, driving backbeat, emphasis on beats 2 and 4, electric guitar, bass guitar, drums, power chords, energetic, distorted guitar tone, rhythmic",1.775,DS1_Saraga_miya malhar_103_MusicGen-Style_Rock_Drut_69.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
28,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Jazz,70,Vilambit,Vilambit,4/4,"swing rhythm, syncopation, walking bass",70,3.0,30,"Jazz music, 70 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",0.69,DS1_Saraga_miya malhar_103_MusicGen-Style_Jazz_Vilambit_70.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
29,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Jazz,120,Madhya,Madhya,4/4,"swing rhythm, syncopation, walking bass",71,3.0,30,"Jazz music, 120 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.183,DS1_Saraga_miya malhar_103_MusicGen-Style_Jazz_Madhya_71.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
30,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Jazz,180,Drut,Drut,4/4,"swing rhythm, syncopation, walking bass",72,3.0,30,"Jazz music, 180 BPM, 4/4, swing rhythm, syncopation, walking bass, saxophone, piano, acoustic bass, drum kit with brushes, improvisational, sophisticated harmony, smooth",1.775,DS1_Saraga_miya malhar_103_MusicGen-Style_Jazz_Drut_72.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
31,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Funk,70,Vilambit,Vilambit,4/4,"syncopated groove, emphasis on the one, tight rhythm section",73,3.0,30,"Funk music, 70 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",0.69,DS1_Saraga_miya malhar_103_MusicGen-Style_Funk_Vilambit_73.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
32,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Funk,120,Madhya,Madhya,4/4,"syncopated groove, emphasis on the one, tight rhythm section",74,3.0,30,"Funk music, 120 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.183,DS1_Saraga_miya malhar_103_MusicGen-Style_Funk_Madhya_74.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
33,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Funk,180,Drut,Drut,4/4,"syncopated groove, emphasis on the one, tight rhythm section",75,3.0,30,"Funk music, 180 BPM, 4/4, syncopated groove, emphasis on the one, tight rhythm section, slap bass, rhythm guitar, horn section, groove drums, groovy, syncopated, danceable, tight rhythm section",1.775,DS1_Saraga_miya malhar_103_MusicGen-Style_Funk_Drut_75.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
34,DS1_Saraga,miya malhar_103,miya malhar,101.4,Madhya,PROBLEMATIC,1811.27,59.7,30.0,0.305,3.512,0.345,8.34,MusicGen-Style,Autoregressive-Transformer,2,text+audio-features,audio-excerpt,Blues,70,Vilambit,Vilambit,4/4,"shuffle rhythm, 12-bar blues progression, emphasis on downbeat",76,3.0,30,"Blues music, 70 BPM, 4/4, shuffle rhythm, 12-bar blues progression, emphasis on downbeat, electric guitar, bass, drums, expressive bends, soulful, minor pentatonic, emotive",0.69,DS1_Saraga_miya malhar_103_MusicGen-Style_Blues_Vilambit_76.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,,,"V2.0: Generic text prompt, NO raag name or HCM tempo category",v2_0_control
